"url","address","capital_value","land_value","improvement_value","price","price_on","decade_built","category_type","building_construction","building_condition","num_bedrooms","bath_estimate","num_bathrooms","bed_estimate","floor_area","land_area","has_deck","contour","suburb_name","view_scope","view_type","lat","lng","distance_total_transit","distance_walking_transit","duration_transit","distance_total_driving","distance_walking_driving","duration_driving","distance_total_bicycling","distance_walking_bicycling","duration_bicycling","distance_total_supermarket","duration_supermarket"
"","<redacted>",469000,455000,16000,454000,"2017-08-28 00:00:00",1940,"house","WT","AA",NULL,1,NULL,3,80,875,0,"level","Waterloo","none","none",-41.22437614063873,174.91876036001568,21218,841,3345,21218,841,3345,21218,841,3345,21218,3345
"","<redacted>",353000,130000,224000,418000,"2017-09-01 00:00:00",1970,"house","WI","AA",NULL,1,NULL,3,90,506,1,"easy_to_moderate_fall","Naenae","moderate","other",-41.213663888314564,174.95488511116193,22913,1093,3649,22913,1093,3649,22913,1093,3649,22913,3649
"","<redacted>",480000,239000,244000,564500,"2017-08-31 00:00:00",1920,"house","WI","AA",3,1,NULL,3,100,525,1,"level","Moera","none","none",-41.22690312299467,174.9032483029906,17560,552,2814,17560,552,2814,17560,552,2814,17560,2814
"","<redacted>",345000,140000,207000,410000,"2017-08-30 00:00:00",1980,"house","WI","GG",3,1,NULL,3,90,512,1,"level","Stokes valley","moderate","other",-41.17714760438239,174.97704641593634,30003,547,3774,30003,547,3774,30003,547,3774,30003,3774
"","<redacted>",503000,230000,280000,567000,"2017-08-26 00:00:00",1970,"house","WT","AA",NULL,1,NULL,3,130,679,0,"level","Epuni","none","none",-41.21583530662982,174.9215948334454,18759,728,2685,18759,728,2685,18759,728,2685,18759,2685
"","<redacted>",350000,130000,225000,406500,"2017-08-28 00:00:00",1970,"house","WT","AA",NULL,1,NULL,3,110,532,0,"level","Wainuiomata","none","none",-41.24528980800447,174.9361620838616,25011,1305,3773,25011,1305,3773,25011,1305,3773,25011,3773
"","<redacted>",438000,136000,314000,721000,"2017-08-27 00:00:00",2000,"house","BT","GG",3,1,NULL,3,89,270,1,"level","Newlands","none","none",-41.21807836430235,174.8231814772602,12216,463,2480,12216,463,2480,12216,463,2480,12216,2480
"","<redacted>",645000,433000,212000,722000,"2017-09-02 00:00:00",1920,"house","WI","AA",3,1,NULL,3,120,690,1,"level","Waterloo","none","none",-41.22063590123539,174.91850941567475,19020,848,2757,19020,848,2757,19020,848,2757,19020,2757
"","<redacted>",648000,236000,405000,892000,"2017-08-30 00:00:00",1990,"house","RT","AA",4,3,NULL,4,250,546,1,"level","Churton park","none","none",-41.20175678683711,174.80311825693144,14065,520,3240,14065,520,3240,14065,520,3240,14065,3240
"","<redacted>",501000,180000,328000,686500,"2017-09-01 00:00:00",1990,"house","FT","GG",NULL,2,NULL,4,170,622,1,"level","Woodridge","slight","other",-41.21118186508568,174.8265442799744,13119,270,2958,13119,270,2958,13119,270,2958,13119,2958
"","<redacted>",514000,288000,229000,609000,"2017-08-30 00:00:00",1920,"house","WI","AA",NULL,1,NULL,3,90,315,0,"level","Petone","none","none",-41.23169935386752,174.8869338019781,15263,322,2269,15263,322,2269,15263,322,2269,15263,2269
"","<redacted>",734000,275000,464000,853800,"2017-08-27 00:00:00",2010,"house","XI","GG",4,2,NULL,4,210,507,0,"level","Silverstream",NULL,"other",-41.148990763822624,175.00330003035967,30104,1303,3554,30104,1303,3554,30104,1303,3554,30104,3554
"","<redacted>",425000,167000,269000,672000,"2017-08-30 00:00:00",1900,"house","WI","FF",NULL,1,NULL,3,80,271,0,"level","Kilbirnie","none","none",-41.31693295596627,174.78967965536685,4916,606,1350,4916,606,1350,4916,606,1350,4916,1350
"","<redacted>",558000,348000,205000,710113,"2017-08-30 00:00:00",1960,"house","WA","GG",NULL,2,NULL,4,220,871,1,"easy_to_moderate_rise","Fairfield",NULL,"other",-41.20850561811371,174.9387408022174,20415,1166,3220,20415,1166,3220,20415,1166,3220,20415,3220
"","<redacted>",816000,423000,398000,982000,"2017-09-02 00:00:00",1910,"house","WI","AA",NULL,2,NULL,3,170,331,1,"level","Hataitai","slight","water",-41.30555686213476,174.80102539581677,3273,553,1048,3273,553,1048,3273,553,1048,3273,1048
"","<redacted>",544000,168000,381000,741000,"2017-08-30 00:00:00",1990,"house","WI","GG",NULL,3,NULL,4,290,1096,1,"easy_to_moderate_fall","Belmont","moderate","other",-41.1967294518425,174.92023197096472,23355,716,3584,23355,716,3584,23355,716,3584,23355,3584
"","<redacted>",573000,225000,356000,803000,"2017-09-03 00:00:00",2000,"house","WI","GG",NULL,2,NULL,3,139,227,1,"steep_fall","Miramar","moderate","water",-41.322937638718386,174.82843819748223,7593,432,1595,7593,432,1595,7593,432,1595,7593,1595
"","<redacted>",600000,201000,404000,725000,"2017-09-02 00:00:00",1960,"house","WI","AA",NULL,2,NULL,4,180,1077,1,"easy_to_moderate_fall","Korokoro","none","none",-41.21609258576982,174.87494392304387,14481,1158,2487,14481,1158,2487,14481,1158,2487,14481,2487
"","<redacted>",316000,126000,201000,514000,"2017-08-31 00:00:00",1990,"house","WT","AA",3,1,NULL,3,80,293,1,"level","Tawa","none","none",-41.16022425622459,174.8332898504485,18079,528,2456,18079,528,2456,18079,528,2456,18079,2456
"","<redacted>",513000,266000,254000,630000,"2017-08-30 00:00:00",1940,"house","WF","GA",NULL,1,NULL,3,100,526,1,"easy_to_moderate_rise","Karori","slight","water",-41.285055361868785,174.74637943684098,5276,692,1505,5276,692,1505,5276,692,1505,5276,1505
"","<redacted>",670000,267000,396000,899000,"2017-09-02 00:00:00",2010,"house","WI","GG",4,2,NULL,4,177,625,0,"level","Churton park","none","none",-41.19741667610165,174.79923991405136,15720,971,4275,15720,971,4275,15720,971,4275,15720,4275
"","<redacted>",670000,210000,469000,791000,"2017-08-31 00:00:00",2010,"house","WT","GG",4,2,NULL,4,185,494,1,"easy_to_moderate_rise","Maungaraki","none","none",-41.20008559725775,174.87642750810377,20521,671,3645,20521,671,3645,20521,671,3645,20521,3645
"","<redacted>",468000,170000,296000,769700,"2017-09-01 00:00:00",1970,"house","WT","AA",NULL,2,NULL,3,140,731,0,"steep_rise","Karori",NULL,"other",-41.27863955161246,174.73548162283382,9174,753,2250,9174,753,2250,9174,753,2250,9174,2250
"","<redacted>",346000,75000,281000,503470,"2017-09-03 00:00:00",2000,"house","BT","GG",3,1,NULL,3,106,222,1,"level","Tawa","none","none",-41.16589959085997,174.82477236262724,17705,1167,2815,17705,1167,2815,17705,1167,2815,17705,2815
"","<redacted>",265000,92000,180000,325000,"2017-09-01 00:00:00",1960,"house","WI","AA",NULL,1,NULL,3,100,641,1,"level","Stokes valley","none","none",-41.18502610597534,174.97989066513247,29660,575,3921,29660,575,3921,29660,575,3921,29660,3921
"","<redacted>",294000,131000,160000,415000,"2017-08-29 00:00:00",1940,"townhouse","XT","AA",3,1,NULL,3,120,451,0,"level","Taita","none","none",-41.183364424372805,174.95918273279042,23862,650,3140,23862,650,3140,23862,650,3140,23862,3140
"","<redacted>",314000,153000,166000,399000,"2017-09-02 00:00:00",1940,"house","FT","AA",NULL,1,NULL,3,90,513,0,"level","Naenae","none","none",-41.20302403596925,174.9553552268222,21980,441,3170,21980,441,3170,21980,441,3170,21980,3170
"","<redacted>",458000,234000,225000,666500,"2017-09-01 00:00:00",1900,"house","WI","GA",NULL,1,NULL,3,80,693,0,"steep_rise","Island bay",NULL,"other",-41.33495415622908,174.7739617502791,7122,659,1564,7122,659,1564,7122,659,1564,7122,1564
"","<redacted>",479000,149000,337000,637526,"2017-08-31 00:00:00",1990,"house","WI","GG",NULL,1,NULL,3,120,335,1,"steep_fall","Island bay","slight","other",-41.341429762797226,174.77643029710686,6686,432,1340,6686,432,1340,6686,432,1340,6686,1340
"","<redacted>",414000,192000,216000,643000,"2017-08-30 00:00:00",1970,"house","XT","GA",NULL,2,NULL,4,200,511,1,"level","Broadmeadows","moderate","water",-41.239538243332575,174.79554730132574,11920,694,2632,11920,694,2632,11920,694,2632,11920,2632
"","<redacted>",456000,204000,262000,496630,"2017-08-30 00:00:00",1940,"house","WT","AA",NULL,1,NULL,3,110,557,1,"level","Naenae","none","none",-41.206488307389414,174.945755624184,21031,782,3258,21031,782,3258,21031,782,3258,21031,3258
"","<redacted>",437000,185000,263000,680000,"2017-09-01 00:00:00",1980,"house","WI","AA",NULL,1,NULL,3,110,695,1,"steep_rise","Aro valley","moderate","water",-41.300218587240465,174.7544708497507,4418,1649,2083,4418,1649,2083,4418,1649,2083,4418,2083
"","<redacted>",608000,234000,373000,1031000,"2017-09-07 00:00:00",1950,"house","WI","AG",NULL,3,NULL,4,240,812,1,"easy_to_moderate_fall","Wadestown","moderate","other",-41.26493171385805,174.76796038532817,7991,441,2008,7991,441,2008,7991,441,2008,7991,2008
"","<redacted>",328000,134000,207000,377000,"2017-09-01 00:00:00",1970,"house","WT","AA",NULL,1,NULL,3,100,505,1,"level","Wainuiomata","none","none",-41.24935517522138,174.93144178671966,24901,1195,3700,24901,1195,3700,24901,1195,3700,24901,3700
"","<redacted>",568000,210000,356000,981000,"2017-09-02 00:00:00",NULL,"house","WI","AA",NULL,2,NULL,3,149,449,1,"easy_to_moderate_rise","Northland",NULL,"other",-41.271421929141454,174.76233903140667,7854,600,2021,7854,600,2021,7854,600,2021,7854,2021
"","<redacted>",350000,146000,206000,399100,"2017-09-01 00:00:00",1940,"house","BT","AA",NULL,1,NULL,3,90,632,0,"level","Naenae","none","none",-41.202728465284736,174.9585642474331,22324,500,3224,22324,500,3224,22324,500,3224,22324,3224
"","<redacted>",604000,291000,315000,883000,"2017-08-28 00:00:00",1990,"house","WI","FA",NULL,1,NULL,3,110,420,1,"easy_to_moderate_rise","Brooklyn","none","none",-41.29982225187936,174.76879852204308,2763,1192,1243,2763,1192,1243,2763,1192,1243,2763,1243
"","<redacted>",764000,387000,375000,929000,"2017-09-06 00:00:00",1930,"house","WT","AA",NULL,2,NULL,4,180,569,1,"easy_to_moderate_rise","Eastbourne",NULL,"water",-41.29057890742372,174.90154558434625,25768,486,3878,25768,486,3878,25768,486,3878,25768,3878
"","<redacted>",709000,465000,249000,704000,"2017-08-30 00:00:00",1940,"house","WI","AA",NULL,1,NULL,3,120,511,1,"level","Petone","none","none",-41.23065469125071,174.88752805320186,14923,547,2301,14923,547,2301,14923,547,2301,14923,2301
"","<redacted>",738000,351000,381000,643000,"2017-09-04 00:00:00",2010,"house","XI","GG",6,NULL,NULL,NULL,258,704,1,"level","Waiwhetu","none","none",-41.22238350910656,174.91768711890762,18246,815,2785,18246,815,2785,18246,815,2785,18246,2785
"","<redacted>",531000,173000,363000,681000,"2017-08-31 00:00:00",1920,"house","PI","AG",3,1,NULL,3,110,387,0,"level","Ngaio","slight","other",-41.24725775218915,174.77639863057342,8249,674,1953,8249,674,1953,8249,674,1953,8249,1953
"","<redacted>",280000,102000,190000,162000,"2017-09-07 00:00:00",1950,"house","WI","AA",NULL,1,NULL,3,80,300,0,"level","Wainuiomata","none","none",-41.26129429224386,174.9492502947744,26111,524,3473,26111,524,3473,26111,524,3473,26111,3473
"","<redacted>",605000,201000,411000,789000,"2017-08-29 00:00:00",1990,"house","XT","AG",NULL,3,NULL,5,280,577,0,"level","Silverstream","moderate","other",-41.14827772739409,175.00673413288487,30303,1502,3672,30303,1502,3672,30303,1502,3672,30303,3672
"","<redacted>",707000,382000,327000,792000,"2017-09-04 00:00:00",1930,"house","WI","GG",3,2,NULL,3,134,364,1,"level","Petone","none","none",-41.231446054296384,174.88257294668347,14627,528,2297,14627,528,2297,14627,528,2297,14627,2297
"","<redacted>",497000,176000,329000,637000,"2017-08-31 00:00:00",1960,"house","BI","AG",3,2,NULL,4,180,483,1,"easy_to_moderate_rise","Newlands","moderate","other",-41.21976884021971,174.81989767669975,12322,940,2828,12322,940,2828,12322,940,2828,12322,2828
"","<redacted>",338000,168000,175000,497000,"2017-09-01 00:00:00",1970,"house","WI","AA",NULL,1,NULL,3,110,787,1,"easy_to_moderate_rise","Newlands","moderate","water",-41.22665817903326,174.8361114362182,12949,615,2889,12949,615,2889,12949,615,2889,12949,2889
"","<redacted>",425000,196000,231000,724000,"2017-08-31 00:00:00",1960,"house","BI","GG",NULL,2,NULL,4,230,506,1,"easy_to_moderate_rise","Churton park","slight","other",-41.214105790637106,174.81345265490907,12694,779,2999,12694,779,2999,12694,779,2999,12694,2999
"","<redacted>",604000,314000,297000,818000,"2017-09-07 00:00:00",1920,"house","WI","AA",NULL,2,NULL,4,160,637,0,"steep_rise","Brooklyn","moderate","other",-41.31472524361632,174.76407726156552,3787,1131,1531,3787,1131,1531,3787,1131,1531,3787,1531
"","<redacted>",365000,137000,232000,399000,"2017-09-08 00:00:00",1940,"house","WT","AA",NULL,1,NULL,3,100,536,0,"level","Naenae","none","none",-41.20834870045891,174.94975264093708,23142,524,3547,23142,524,3547,23142,524,3547,23142,3547
"","<redacted>",355000,196000,163000,505000,"2017-08-31 00:00:00",1940,"house","AT","AG",3,1,NULL,3,112,687,0,"level","Taita","moderate","other",-41.186840507293,174.95305479258863,24094,1079,3430,24094,1079,3430,24094,1079,3430,24094,3430
"","<redacted>",810000,299000,516000,922000,"2017-09-05 00:00:00",2000,"house","WI","GG",5,2,NULL,4,186,1263,1,"easy_to_moderate_rise","Korokoro","moderate","water",-41.2082270041227,174.86549786352558,18768,1182,4044,18768,1182,4044,18768,1182,4044,18768,4044
"","<redacted>",322000,125000,199000,365000,"2017-08-30 00:00:00",1960,"house","WI","AA",NULL,1,NULL,3,100,567,0,"level","Wainuiomata","none","none",-41.25702599223287,174.92676231383442,24280,430,3131,24280,430,3131,24280,430,3131,24280,3131
"","<redacted>",762000,279000,492000,782000,"2017-09-05 00:00:00",2000,"house","IT","GG",4,3,NULL,4,243,1003,1,"easy_to_moderate_fall","Tirohanga","moderate","other",-41.19997151199831,174.89499779019337,18970,2569,4180,18970,2569,4180,18970,2569,4180,18970,4180
"","<redacted>",455000,209000,250000,583000,"2017-09-04 00:00:00",1930,"house","WI","AA",NULL,1,NULL,3,100,524,1,"steep_rise","Wadestown",NULL,"other",-41.26738131061515,174.7634038988642,7476,497,1946,7476,497,1946,7476,497,1946,7476,1946
"","<redacted>",497000,279000,225000,483500,"2017-09-08 00:00:00",1920,"house","RT","AG",NULL,1,NULL,3,130,372,0,"level","Island bay","none","none",-41.33898050103049,174.77053053228272,6487,387,1342,6487,387,1342,6487,387,1342,6487,1342
"","<redacted>",599000,234000,367000,808229,"2017-09-07 00:00:00",2000,"house","RT","GG",NULL,2,NULL,4,230,648,0,"easy_to_moderate_rise","Churton park","none","none",-41.19364995194505,174.80229358111615,15402,653,3928,15402,653,3928,15402,653,3928,15402,3928
"","<redacted>",744000,410000,335000,1353500,"2017-09-08 00:00:00",1950,"house","WI","AA",3,2,NULL,4,180,743,1,"easy_to_moderate_fall","Khandallah","slight","water",-41.25038543017442,174.78564508177615,10314,430,2398,10314,430,2398,10314,430,2398,10314,2398
"","<redacted>",313000,165000,156000,411000,"2017-09-05 00:00:00",1940,"house","WI","AA",NULL,1,NULL,3,130,1207,0,"level","Wainuiomata","none","none",-41.27685791201147,174.96246470988254,31237,440,3955,31237,440,3955,31237,440,3955,31237,3955
"","<redacted>",743000,383000,365000,815000,"2017-09-10 00:00:00",1970,"house","XT","GG",4,2,NULL,4,210,1054,1,"level","Waterloo",NULL,"other",-41.222502378464995,174.93375602630624,21496,1053,3030,21496,1053,3030,21496,1053,3030,21496,3030
"","<redacted>",490000,202000,299000,782000,"2017-09-08 00:00:00",1970,"house","FT","GG",NULL,2,NULL,4,200,512,1,"easy_to_moderate_rise","Silverstream","slight","other",-41.15739663183508,175.01007338786044,30340,1539,3702,30340,1539,3702,30340,1539,3702,30340,3702
"","<redacted>",705000,204000,505000,1105500,"2017-09-02 00:00:00",2010,"townhouse","WI","GG",3,2,NULL,4,210,338,1,"easy_to_moderate_rise","Strathmore park","none","none",-41.332517372698696,174.81616474096083,9866,550,1992,9866,550,1992,9866,550,1992,9866,1992
"","<redacted>",420000,203000,224000,422000,"2017-09-04 00:00:00",1940,"house","BT","AA",NULL,1,NULL,3,100,508,0,"level","Moera","none","none",-41.22827681457873,174.90403040987326,17247,694,2836,17247,694,2836,17247,694,2836,17247,2836
"","<redacted>",286000,137000,158000,291000,"2017-09-02 00:00:00",1960,"house","WT","AA",NULL,1,NULL,3,90,809,0,"steep_rise","Wainuiomata",NULL,"other",-41.26915625892226,174.9519637537538,26070,394,3433,26070,394,3433,26070,394,3433,26070,3433
"","<redacted>",291000,105000,192000,245000,"2017-09-02 00:00:00",1980,"house","FI","GG",NULL,1,NULL,2,70,511,0,"easy_to_moderate_rise","Stokes valley","none","none",-41.16290698037158,174.9882803448173,27374,550,3580,27374,550,3580,27374,550,3580,27374,3580
"","<redacted>",247000,127000,130000,362000,"2017-09-09 00:00:00",1960,"house","WT","AA",NULL,1,NULL,3,100,614,0,"level","Wainuiomata","none","none",-41.26348093554672,174.95615658120528,27353,1132,3952,27353,1132,3952,27353,1132,3952,27353,3952
"","<redacted>",434000,243000,193000,777777,"2017-09-06 00:00:00",NULL,"house","RI","GG",NULL,1,NULL,3,80,282,0,"level","Berhampore","none","none",-41.322943387277014,174.77498468743522,3788,194,844,3788,194,844,3788,194,844,3788,844
"","<redacted>",333000,145000,203000,447000,"2017-09-07 00:00:00",1950,"house","WI","AA",NULL,1,NULL,3,130,1074,0,"easy_to_moderate_rise","Wainuiomata","slight","other",-41.26033971253697,174.9416002092345,25408,698,3446,25408,698,3446,25408,698,3446,25408,3446
"","<redacted>",580000,553000,32000,704000,"2017-09-08 00:00:00",1960,"house","XI","AA",NULL,2,NULL,3,140,710,1,"level","Waterloo","none","none",-41.2086736126298,174.92166176325816,20200,754,2853,20200,754,2853,20200,754,2853,20200,2853
"","<redacted>",550000,242000,310000,687000,"2017-09-10 00:00:00",1900,"house","WI","FA",NULL,1,NULL,3,90,417,0,"easy_to_moderate_rise","Brooklyn","moderate","other",-41.30350499427262,174.7573731326488,2838,1465,1477,2838,1465,1477,2838,1465,1477,2838,1477
"","<redacted>",583000,317000,276000,750000,"2017-09-12 00:00:00",1920,"house","WI","GG",NULL,1,NULL,3,100,559,0,"level","Brooklyn",NULL,"water",-41.3115496432551,174.7697357949132,4372,1173,1621,4372,1173,1621,4372,1173,1621,4372,1621
"","<redacted>",551000,257000,302000,790000,"2017-09-08 00:00:00",1990,"house","FT","GG",NULL,2,NULL,3,140,376,0,"level","Miramar","none","none",-41.322453315750536,174.81361325131923,6338,370,1281,6338,370,1281,6338,370,1281,6338,1281
"","<redacted>",540000,188000,361000,625000,"2017-09-06 00:00:00",1970,"house","WI","AA",3,2,NULL,3,140,544,1,"easy_to_moderate_rise","Harbour view",NULL,"water",-41.201492500659526,174.89436119650586,17766,1218,3102,17766,1218,3102,17766,1218,3102,17766,3102
"","<redacted>",626000,143000,491000,620000,"2017-09-10 00:00:00",1960,"house","WI","AA",6,2,NULL,4,270,1758,1,"easy_to_moderate_rise","Blue mountains","slight","other",-41.17166169156283,175.03301121086102,45311,3169,8500,45311,3169,8500,45311,3169,8500,45311,8500
"","<redacted>",566000,336000,233000,658000,"2017-09-08 00:00:00",1910,"house","WI","FG",NULL,1,NULL,3,100,541,0,"level","Karori","none","none",-41.28688208731335,174.74219823535717,7309,463,1688,7309,463,1688,7309,463,1688,7309,1688
"","<redacted>",549000,290000,262000,581000,"2017-09-07 00:00:00",1920,"house","BI","AA",NULL,1,NULL,3,80,304,1,"level","Eastbourne","none","none",-41.29836700935283,174.8943172472551,26971,332,3888,26971,332,3888,26971,332,3888,26971,3888
"","<redacted>",651000,463000,194000,727000,"2017-09-06 00:00:00",1910,"house","FI","FF",NULL,1,NULL,3,80,607,0,"level","Eastbourne","none","none",-41.29473657632767,174.8989650495979,25970,377,3644,25970,377,3644,25970,377,3644,25970,3644
"","<redacted>",257000,131000,136000,274000,"2017-09-05 00:00:00",1980,"house","FT","AA",NULL,1,NULL,3,90,1249,1,"level","Wainuiomata","none","none",-41.25221219860578,174.95679647817485,32220,644,4332,32220,644,4332,32220,644,4332,32220,4332
"","<redacted>",327000,123000,207000,380000,"2017-09-10 00:00:00",1970,"house","FI","AA",NULL,1,NULL,3,100,546,0,"level","Wainuiomata","none","none",-41.243722599865144,174.93772901751308,25399,870,3636,25399,870,3636,25399,870,3636,25399,3636
"","<redacted>",455000,201000,262000,738000,"2017-09-11 00:00:00",1970,"house","WI","GG",NULL,1,NULL,3,130,537,1,"easy_to_moderate_rise","Crofton downs","moderate","other",-41.249790523434115,174.75891679918104,7712,958,1999,7712,958,1999,7712,958,1999,7712,1999
"","<redacted>",767000,458000,319000,1312000,"2017-09-12 00:00:00",1970,"house","CI","AG",6,3,NULL,5,265,911,0,"level","Karori","none","none",-41.282474410764976,174.74466436724734,7422,576,1769,7422,576,1769,7422,576,1769,7422,1769
"","<redacted>",390000,178000,219000,536000,"2017-09-12 00:00:00",1960,"house","WI","AA",NULL,2,NULL,3,140,545,0,"easy_to_moderate_fall","Newlands","slight","other",-41.2224380341887,174.8242528813391,12270,654,2694,12270,654,2694,12270,654,2694,12270,2694
"","<redacted>",569000,361000,205000,711000,"2017-09-13 00:00:00",1960,"house","BI","AA",NULL,1,NULL,3,100,476,0,"level","Hutt central","none","none",-41.21475591792068,174.9226122771442,18557,688,2660,18557,688,2660,18557,688,2660,18557,2660
"","<redacted>",686000,348000,349000,687000,"2017-09-14 00:00:00",1910,"house","WI","GA",NULL,1,NULL,3,120,407,1,"level","Eastbourne","none","none",-41.29575783162968,174.89643020903216,25964,206,3696,25964,206,3696,25964,206,3696,25964,3696
"","<redacted>",293000,85000,212000,322000,"2017-09-05 00:00:00",1950,"house","WT","AA",NULL,1,NULL,3,90,1135,1,"steep_rise","Naenae","none","none",-41.20920857862926,174.9472479318873,22456,917,3484,22456,917,3484,22456,917,3484,22456,3484
"","<redacted>",319000,98000,219000,369000,"2017-09-08 00:00:00",NULL,"house","XX","AA",4,1,NULL,3,140,506,0,"easy_to_moderate_rise","Wainuiomata","none","none",-41.28883185479984,174.9498674232355,29318,474,3800,29318,474,3800,29318,474,3800,29318,3800
"","<redacted>",595000,250000,354000,815000,"2017-09-12 00:00:00",1970,"house","WT","GG",4,2,NULL,4,230,547,1,"level","Johnsonville",NULL,"other",-41.230117757272296,174.78854721544653,13132,1334,3162,13132,1334,3162,13132,1334,3162,13132,3162
"","<redacted>",719000,424000,294000,887000,"2017-09-08 00:00:00",1950,"house","WT","AA",3,2,NULL,3,122,515,0,"steep_rise","Karaka bays",NULL,"water",-41.30169586916626,174.82726316693845,10114,462,1782,10114,462,1782,10114,462,1782,10114,1782
"","<redacted>",385000,155000,232000,492000,"2017-09-04 00:00:00",1900,"house","WI","AG",NULL,1,NULL,2,70,190,1,"level","Berhampore","none","none",-41.32184154295915,174.7784393053549,3837,232,831,3837,232,831,3837,232,831,3837,831
"","<redacted>",519000,233000,289000,718000,"2017-09-08 00:00:00",1940,"house","WT","AA",NULL,2,NULL,3,160,613,1,"easy_to_moderate_rise","Wilton","moderate","other",-41.2740202011378,174.75810840243733,7993,397,1966,7993,397,1966,7993,397,1966,7993,1966
"","<redacted>",257000,131000,136000,316000,"2017-09-06 00:00:00",1960,"house","WI","AA",NULL,1,NULL,3,90,607,0,"level","Wainuiomata","none","none",-41.23976715125387,174.9487780555356,31134,310,4051,31134,310,4051,31134,310,4051,31134,4051
"","<redacted>",485000,301000,188000,726500,"2017-09-09 00:00:00",1920,"house","WI","AA",NULL,1,NULL,3,110,780,0,"easy_to_moderate_fall","Melrose","moderate","water",-41.32253289406729,174.7906203286971,5293,957,1659,5293,957,1659,5293,957,1659,5293,1659
"","<redacted>",485000,167000,321000,754000,"2017-09-07 00:00:00",1960,"house","WI","AA",NULL,2,NULL,3,150,476,1,"steep_fall","Brooklyn","moderate","other",-41.31202515069881,174.76564233760604,4271,1281,1821,4271,1281,1821,4271,1281,1821,4271,1821
"","<redacted>",419000,141000,284000,585650,"2017-09-09 00:00:00",1960,"house","WI","AA",3,1,NULL,3,92,1319,0,"easy_to_moderate_rise","Newlands","slight","water",-41.22594694580409,174.82133491023134,10780,475,2290,10780,475,2290,10780,475,2290,10780,2290
"","<redacted>",576000,435000,147000,855000,"2017-09-08 00:00:00",1970,"house","WI","GG",NULL,2,NULL,4,160,549,1,"easy_to_moderate_rise","Roseneath","moderate","water",-41.29754649169373,174.80183565140297,3825,428,1122,3825,428,1122,3825,428,1122,3825,1122
"","<redacted>",343000,170000,171000,542000,"2017-09-07 00:00:00",1930,"house","WI","FA",NULL,1,NULL,2,50,779,0,"easy_to_moderate_rise","Owhiro bay","none","none",-41.34557022063721,174.75633230773406,9653,226,1770,9653,226,1770,9653,226,1770,9653,1770
"","<redacted>",438000,228000,216000,708000,"2017-09-07 00:00:00",1940,"house","BT","AA",NULL,2,NULL,3,150,539,0,"easy_to_moderate_rise","Johnsonville","none","none",-41.22291770206918,174.79703275131305,13033,1018,2829,13033,1018,2829,13033,1018,2829,13033,2829
"","<redacted>",465000,238000,226000,725000,"2017-09-12 00:00:00",1970,"house","WI","AA",NULL,1,NULL,3,100,554,0,"easy_to_moderate_fall","Maupuia",NULL,"other",-41.30228712981848,174.81713502579012,9318,384,1634,9318,384,1634,9318,384,1634,9318,1634
"","<redacted>",614000,169000,453000,743000,"2017-09-06 00:00:00",1920,"house","WI","AA",3,2,NULL,3,140,315,0,"steep_fall","Kilbirnie",NULL,"water",-41.32147452325958,174.7928751344729,4918,698,1386,4918,698,1386,4918,698,1386,4918,1386
"","<redacted>",590000,227000,364000,808000,"2017-09-13 00:00:00",1940,"house","WT","AG",NULL,2,NULL,4,210,589,0,"easy_to_moderate_fall","Wilton","moderate","other",-41.2652147031656,174.76383482196442,7835,457,1988,7835,457,1988,7835,457,1988,7835,1988
"","<redacted>",435000,181000,252000,520000,"2017-09-05 00:00:00",1970,"house","WI","AA",NULL,1,NULL,3,110,508,1,"easy_to_moderate_fall","Belmont","slight","other",-41.1960668862527,174.9182006498686,22748,1201,4282,22748,1201,4282,22748,1201,4282,22748,4282
"","<redacted>",525000,228000,304000,1008000,"2017-09-09 00:00:00",1890,"house","WI","AF",NULL,2,NULL,3,170,243,1,"level","Mount cook","none","none",-41.29896704422719,174.77694471469493,1593,516,621,1593,516,621,1593,516,621,1593,621
"","<redacted>",535000,114000,429000,669000,"2017-09-13 00:00:00",1970,"townhouse","XI","AA",3,2,NULL,3,125,267,1,"easy_to_moderate_fall","Houghton bay","none","none",-41.33667013207343,174.78912664153097,7837,420,1774,7837,420,1774,7837,420,1774,7837,1774
"","<redacted>",291000,125000,173000,511500,"2017-09-15 00:00:00",1960,"house","WI","AA",NULL,1,NULL,3,130,614,1,"level","Wainuiomata","none","none",-41.25099247722777,174.9475388748715,28896,482,3854,28896,482,3854,28896,482,3854,28896,3854
"","<redacted>",333000,133000,207000,399000,"2017-09-14 00:00:00",1950,"house","XT","AA",NULL,2,NULL,3,170,809,1,"level","Wainuiomata","none","none",-41.26411020690214,174.93467030176538,25515,806,3554,25515,806,3554,25515,806,3554,25515,3554
"","<redacted>",290000,227000,56000,361000,"2017-09-16 00:00:00",1940,"townhouse","BT","AA",NULL,1,NULL,2,60,429,0,"level","Epuni","none","none",-41.21070242637507,174.92864106267393,19375,483,2728,19375,483,2728,19375,483,2728,19375,2728
"","<redacted>",800000,606000,208000,833500,"2017-09-15 00:00:00",1920,"house","WI","AA",3,2,NULL,3,150,757,1,"level","Woburn","none","none",-41.21899241914924,174.91554522657444,19135,1010,2977,19135,1010,2977,19135,1010,2977,19135,2977
